StoreNumber,Date,Weekday,Time,InstoreTraffic,StorefrontTraffic,WindowsConversion,Weather,Revenue,Transaction,Conversion,ATV,UPT,EfficientVisit,VisitDuration,per,RepeatCustomer,Temperature,WeekNumber,2FTraffic,2FConversion,normal_vacation,special_vacation,consistent_vacation
1010106,2017/4/20,Thursday,0,138,2792,0.049,Thunderstorms,18420,10,0.072,1842,1.7,0.51,11.8,133.4782609,0.282,81,4,119,0.862,0,0,0
1010106,2017/4/21,Friday,0,188,2417,0.078,Rain,28664,13,0.069,2205,1.85,0.559,10.3,152.4680851,0.317,79,5,135,0.718,0,0,0
1010106,2017/4/22,Saturday,0,329,3972,0.083,Cloudy,66950,31,0.094,2160,2.16,0.528,11.7,203.4954407,0.197,64,6,161,0.489,1,0,0
1010106,2017/4/23,Sunday,0,549,6384,0.086,Cloudy,106228,47,0.086,2260,2.17,0.523,11.8,193.4936248,0.211,70,7,281,0.512,1,0,0
1010106,2017/4/24,Monday,0,145,2701,0.054,Cloudy,31194,19,0.131,1642,1.74,0.524,12,215.1310345,0.275,73,1,87,0.6,0,0,0
1010106,2017/4/25,Tuesday,0,170,2945,0.058,Rain,47475,22,0.129,2158,2.05,0.488,12.4,279.2647059,0.304,80,2,115,0.676,0,0,0
1010106,2017/4/26,Wednesday,0,168,2537,0.066,Cloudy,28904,18,0.107,1606,2.06,0.508,12.5,172.047619,0.293,79,3,139,0.827,0,0,0
1010106,2017/4/27,Thursday,0,129,1868,0.069,Rain,21070,11,0.085,1915,2,0.51,12.3,163.3333333,0.316,63,4,112,0.868,0,0,0
1010106,2017/4/28,Friday,0,230,3947,0.058,Sunny,31842,18,0.078,1769,2.17,0.553,14.2,138.4434783,0.279,72,5,128,0.557,0,0,0
1010106,2017/4/29,Saturday,0,561,6447,0.087,Sunny,72632,34,0.061,2136,2.47,0.526,10.7,129.4688057,0.203,77,6,208,0.371,1,0,1
1010106,2017/4/30,Sunday,0,470,6343,0.074,Sunny,70056,35,0.074,2002,2.34,0.484,10.1,149.0553191,0.189,82,7,186,0.396,1,0,1
1010106,2017/5/1,Monday,0,345,4256,0.081,Sunny,66144,34,0.099,1945,2.06,0.537,11.9,191.7217391,0.22,84,1,199,0.577,0,0,1
1010106,2017/5/2,Tuesday,0,160,2609,0.061,Cloudy,32324,15,0.094,2155,2.13,0.538,14.6,202.025,0.317,83,2,129,0.806,0,0,0
1010106,2017/5/3,Wednesday,0,181,2786,0.065,Scattered Thunderstorms,40260,22,0.122,1830,1.95,0.502,12.8,222.4309392,0.315,81,3,83,0.459,0,0,0
1010106,2017/5/4,Thursday,0,165,3011,0.055,Cloudy,22565,14,0.085,1612,1.86,0.565,11.5,136.7575758,0.311,86,4,115,0.697,0,0,0
1010106,2017/5/5,Friday,0,199,3271,0.061,Thunderstorms,33296,17,0.085,1959,2.65,0.515,12.1,167.3165829,0.288,84,5,103,0.518,0,0,0
1010106,2017/5/6,Saturday,0,582,6263,0.093,Thunderstorms,94767,58,0.1,1634,2.21,0.511,12.2,162.8298969,0.199,77,6,279,0.479,1,0,0
1010106,2017/5/7,Sunday,0,632,6863,0.092,Cloudy,125839,69,0.109,1824,2.14,0.508,13.2,199.1123418,0.189,78,7,305,0.483,1,0,0
1010106,2017/5/8,Monday,0,203,2817,0.072,Scattered Thunderstorms,63345,36,0.177,1760,2.17,0.524,14.2,312.044335,0.306,84,1,131,0.645,0,0,0
1010106,2017/5/9,Tuesday,0,147,2788,0.053,Cloudy,35678,19,0.129,1878,2,0.511,11.1,242.707483,0.3,81,2,100,0.68,0,0,0
1010106,2017/5/10,Wednesday,0,173,2962,0.058,na,22146,17,0.098,1303,1.47,0.575,13.3,128.0115607,0.323,87,3,106,0.613,0,0,0
1010106,2017/5/11,Thursday,0,182,2790,0.065,Cloudy,24978,17,0.093,1469,1.76,0.537,11.9,137.2417582,0.31,89,4,111,0.61,0,0,0
1010106,2017/5/12,Friday,0,228,3074,0.074,Thunderstorms,31223,22,0.096,1419,1.64,0.525,11.1,136.9429825,0.275,84,5,147,0.645,0,0,0
1010106,2017/5/13,Saturday,0,431,5510,0.078,Scattered Thunderstorms,54788,35,0.081,1565,1.83,0.506,12.4,127.1183295,0.185,78,6,215,0.499,1,0,0
1010106,2017/5/14,Sunday,0,515,5493,0.094,Rain,88108,55,0.107,1602,1.69,0.559,11.6,171.0834951,0.198,83,7,224,0.435,1,1,0
1010106,2017/5/15,Monday,0,109,1782,0.061,na,25515,16,0.147,1595,1.44,0.559,12.4,234.0825688,0.312,80,1,83,0.761,0,0,0
1010106,2017/5/16,Tuesday,0,96,1818,0.053,Rain,32106,16,0.167,2007,2,0.525,12.4,334.4375,0.333,71,2,75,0.781,0,0,0
1010106,2017/5/17,Wednesday,0,199,2832,0.07,Rain,36027,25,0.126,1441,1.4,0.468,12.3,181.040201,0.295,79,3,139,0.698,0,0,0
1010106,2017/5/18,Thursday,0,189,2870,0.066,Rain,48078,28,0.148,1717,1.68,0.518,11.3,254.3809524,0.317,82,4,145,0.767,0,0,0
1010106,2017/5/19,Friday,0,187,3239,0.058,Breezy,42699,29,0.155,1472,1.38,0.489,10.8,228.3368984,0.258,76,5,161,0.861,0,0,0
1010106,2017/5/20,Saturday,0,645,7257,0.089,Rain,84924,53,0.082,1602,1.55,0.513,11.5,131.6651163,0.184,81,6,264,0.409,1,0,0
1010106,2017/5/21,Sunday,0,503,6326,0.08,Rain,74670,42,0.083,1778,1.86,0.528,12.1,148.4493042,0.216,80,7,229,0.455,1,0,0
1010106,2017/5/22,Monday,0,174,2855,0.061,Cloudy,48447,29,0.167,1671,1.83,0.425,12.2,278.4310345,0.307,83,1,141,0.81,0,0,0
1010106,2017/5/23,Tuesday,0,184,2730,0.067,Rain,39868,24,0.13,1661,1.38,0.47,14,216.673913,0.299,86,2,140,0.761,0,0,0
1010106,2017/5/24,Wednesday,0,126,1966,0.064,Thunderstorms,31779,20,0.159,1589,1.25,0.535,13.6,252.2142857,0.268,82,3,97,0.77,0,0,0
1010106,2017/5/25,Thursday,0,172,2428,0.071,Rain,24929,15,0.087,1662,1.8,0.539,11.2,144.9360465,0.301,73,4,122,0.709,0,0,0
1010106,2017/5/26,Friday,0,210,3420,0.061,Cloudy,35353,23,0.11,1537,1.39,0.5,11,168.347619,0.284,76,5,129,0.614,0,0,0
1010106,2017/5/27,Saturday,0,309,3697,0.084,Rain,58878,38,0.123,1549,1.5,0.524,12.2,190.5436893,0.194,70,6,180,0.583,1,0,1
1010106,2017/5/28,Sunday,0,480,6340,0.076,Rain,61966,42,0.088,1475,1.48,0.574,11.6,129.0958333,0.148,77,7,233,0.485,1,0,1
1010106,2017/5/29,Monday,0,521,5822,0.089,Cloudy,80239,46,0.088,1744,1.83,0.533,11.2,154.0095969,0.17,83,1,225,0.432,0,0,1
1010106,2017/5/30,Tuesday,0,286,3384,0.085,Cloudy,60143,39,0.136,1542,1.92,0.564,12.5,210.2902098,0.223,84,2,167,0.584,0,1,1
1010106,2017/5/31,Wednesday,0,150,2354,0.064,Cloudy,34928,18,0.12,1940,1.89,0.539,12.4,232.8533333,0.328,89,3,114,0.76,0,0,0
